cell,arm,scene,steps,milestones,ms_frames,stuck_frac,path_len,max_spawn_dist,final_spawn_dist,yaw_sectors_of_12,pitch_extreme_steps,act_move,act_turn,act_turn_move,act_jump_move,act_attack,act_use,act_noop,act_esc,act_other,sprint_steps,jump_steps,attack_steps,attack_max_streak,use_steps,esc_presses,invalid_sprint_noop,esc_rejected,first_esc_rej,parsed_steps,yaw_turn_total_deg,per_ms,turns,steps_per_turn,entries_total,cmd_tail,cmd_grep,cmd_other_read
c4h-hypothesis-vllm-0482,hypothesis,0482,300,1,"27,-1,-1,-1",0.124,47.6,10.3,7.6,9,5,176,46,5,27,9,4,17,1,15,207,28,9,4,4,1,0,1,181,300,4585,"{""find_stone_brick_slab"": {""type"": ""position_near_with_facing"", ""done_frame"": 27, ""min_dist"": 5.97, ""min_dist_step"": 79, ""facing_diff_at_min"": 130.2, ""steps_within_dist"": 81, ""first_within_dist"": 27, ""steps_within_dist_but_facing_bad"": 65, ""max_distance"": 8, ""facing_tol_half"": 30.0}, ""mine_mossy_cobblestone"": {""type"": ""inventory_has"", ""done_frame"": null}, ""mine_pink_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_hidden_room"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
c4h-hypothesis-vllm-0603,hypothesis,0603,300,1,"-1,-1,264,-1",0.251,33.2,8.5,5.3,6,5,197,70,0,13,18,0,0,0,2,188,15,18,11,0,0,0,0,,300,8355,"{""find_purple_bed"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 5.63, ""min_dist_step"": 196, ""facing_diff_at_min"": 117.5, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 15.0}, ""mine_white_carpet"": {""type"": ""inventory_has"", ""done_frame"": null}, ""find_red_nether_brick_stairs"": {""type"": ""position_near_with_facing"", ""done_frame"": 264, ""min_dist"": 2.8, ""min_dist_step"": 90, ""facing_diff_at_min"": 74.7, ""steps_within_dist"": 269, ""first_within_dist"": 32, ""steps_within_dist_but_facing_bad"": 266, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""mine_quartz_block"": {""type"": ""inventory_has"", ""done_frame"": null}}",,,,,,
c4h-hypothesis-vllm-0726,hypothesis,0726,300,0,"-1,-1,-1,-1",0.274,34.5,9.6,9.6,6,0,184,62,6,37,10,0,0,0,1,205,39,10,5,0,0,0,0,,300,6660,"{""find_seagrass"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 4.02, ""min_dist_step"": 24, ""facing_diff_at_min"": 123.9, ""steps_within_dist"": 18, ""first_within_dist"": 12, ""steps_within_dist_but_facing_bad"": 18, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""swim_across_channel"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 2.16, ""min_dist_step"": 47, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""find_diamond_block"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 8.95, ""min_dist_step"": 24, ""facing_diff_at_min"": 111.3, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 4, ""facing_tol_half"": 22.5}, ""find_soul_campfire"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 11.59, ""min_dist_step"": 24, ""facing_diff_at_min"": 116.9, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 22.5}}",,,,,,
c4h-hypothesis-vllm-0763,hypothesis,0763,300,2,"3,234,-1,-1",0.144,51.2,15.2,11.0,11,0,218,58,5,18,0,0,0,0,1,234,18,0,0,0,0,0,0,,300,5115,"{""find_soul_torch"": {""type"": ""position_near_with_facing"", ""done_frame"": 3, ""min_dist"": 2.88, ""min_dist_step"": 11, ""facing_diff_at_min"": 7.8, ""steps_within_dist"": 36, ""first_within_dist"": 3, ""steps_within_dist_but_facing_bad"": 27, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_brown_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 234, ""min_dist"": 2.46, ""min_dist_step"": 247, ""facing_diff_at_min"": 76.0, ""steps_within_dist"": 40, ""first_within_dist"": 234, ""steps_within_dist_but_facing_bad"": 34, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_purple_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_animal_pen"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",,,,,,
c4h-prolong-codex-0182,prolong,0182,300,0,"-1,-1,-1,-1",0.12,57.8,36.8,36.8,10,0,177,26,0,86,10,0,0,0,0,232,86,10,5,0,0,0,0,,299,1410,"{""find_green_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 4.0, ""min_dist_step"": 22, ""facing_diff_at_min"": 89.9, ""steps_within_dist"": 21, ""first_within_dist"": 12, ""steps_within_dist_but_facing_bad"": 21, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_dark_oak_button"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 7.07, ""min_dist_step"": 22, ""facing_diff_at_min"": 90.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_magma_block"": {""type"": ""inventory_has"", ""done_frame"": null}, ""bridge_lava_gap"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 19.0, ""min_dist_step"": 8, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}}",31,9.7,55,30,0,1
c4h-prolong-codex-0306,prolong,0306,300,4,"6,14,20,52",0.013,78.7,17.0,7.9,5,0,284,15,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,,299,1080,"{""find_granite"": {""type"": ""position_near_with_facing"", ""done_frame"": 6, ""min_dist"": 1.42, ""min_dist_step"": 15, ""facing_diff_at_min"": 82.7, ""steps_within_dist"": 67, ""first_within_dist"": 6, ""steps_within_dist_but_facing_bad"": 63, ""max_distance"": 3, ""facing_tol_half"": 30.0}, ""find_bricks"": {""type"": ""position_near_with_facing"", ""done_frame"": 14, ""min_dist"": 1.28, ""min_dist_step"": 138, ""facing_diff_at_min"": 95.4, ""steps_within_dist"": 184, ""first_within_dist"": 14, ""steps_within_dist_but_facing_bad"": 122, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_magenta_wall_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 20, ""min_dist"": 1.0, ""min_dist_step"": 33, ""facing_diff_at_min"": 0.0, ""steps_within_dist"": 120, ""first_within_dist"": 20, ""steps_within_dist_but_facing_bad"": 106, ""max_distance"": 4, ""facing_tol_half"": 30.0}, ""find_orange_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 52, ""min_dist"": 2.42, ""min_dist_step"": 254, ""facing_diff_at_min"": 89.2, ""steps_within_dist"": 135, ""first_within_dist"": 52, ""steps_within_dist_but_facing_bad"": 121, ""max_distance"": 5, ""facing_tol_half"": 30.0}}",26,11.5,36,23,0,0
c4h-prolong-codex-0311,prolong,0311,300,0,"-1,-1,-1,-1",0.421,37.4,17.3,17.3,7,11,175,19,0,80,25,0,0,0,0,250,80,25,10,0,0,0,0,,299,1350,"{""find_river"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 10.0, ""min_dist_step"": 1, ""facing_diff_at_min"": 180.0, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_plains"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 15.0, ""min_dist_step"": 1, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""hunt_rabbit"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}, ""hunt_donkey"": {""type"": ""count_in_box_at_most"", ""done_frame"": null}}",16,18.8,50,16,1,0
c4h-prolong-codex-0482,prolong,0482,300,1,"37,-1,-1,-1",0.682,14.7,12.1,12.1,5,0,50,30,0,13,206,0,0,0,0,24,13,206,28,0,0,0,0,,299,690,"{""find_stone_brick_slab"": {""type"": ""position_near_with_facing"", ""done_frame"": 37, ""min_dist"": 2.21, ""min_dist_step"": 261, ""facing_diff_at_min"": 1.8, ""steps_within_dist"": 264, ""first_within_dist"": 37, ""steps_within_dist_but_facing_bad"": 12, ""max_distance"": 8, ""facing_tol_half"": 30.0}, ""mine_mossy_cobblestone"": {""type"": ""inventory_has"", ""done_frame"": null}, ""mine_pink_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_hidden_room"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",18,16.7,68,18,1,0
c4h-prolong-codex-0603,prolong,0603,300,1,"38,-1,-1,-1",0.689,17.0,8.9,8.9,5,11,85,38,0,0,171,5,0,0,0,64,5,171,20,5,0,0,0,,299,1710,"{""find_purple_bed"": {""type"": ""position_near_with_facing"", ""done_frame"": 38, ""min_dist"": 3.82, ""min_dist_step"": 68, ""facing_diff_at_min"": 5.5, ""steps_within_dist"": 40, ""first_within_dist"": 38, ""steps_within_dist_but_facing_bad"": 27, ""max_distance"": 5, ""facing_tol_half"": 15.0}, ""mine_white_carpet"": {""type"": ""inventory_has"", ""done_frame"": null}, ""find_red_nether_brick_stairs"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 4.63, ""min_dist_step"": 105, ""facing_diff_at_min"": 90.4, ""steps_within_dist"": 47, ""first_within_dist"": 98, ""steps_within_dist_but_facing_bad"": 47, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""mine_quartz_block"": {""type"": ""inventory_has"", ""done_frame"": null}}",33,9.1,74,30,0,1
c4h-prolong-codex-0726,prolong,0726,159,4,"12,63,157,81",0.285,16.8,14.2,13.8,7,0,69,26,0,45,0,2,16,0,0,75,45,0,0,2,0,0,0,,158,795,"{""find_seagrass"": {""type"": ""position_near_with_facing"", ""done_frame"": 12, ""min_dist"": 1.13, ""min_dist_step"": 53, ""facing_diff_at_min"": 72.4, ""steps_within_dist"": 83, ""first_within_dist"": 12, ""steps_within_dist_but_facing_bad"": 61, ""max_distance"": 5, ""facing_tol_half"": 22.5}, ""swim_across_channel"": {""type"": ""position_inside_box"", ""done_frame"": 63, ""min_dist"": 0.0, ""min_dist_step"": 62, ""facing_diff_at_min"": null, ""steps_within_dist"": 18, ""first_within_dist"": 62, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}, ""find_diamond_block"": {""type"": ""position_near_with_facing"", ""done_frame"": 157, ""min_dist"": 1.52, ""min_dist_step"": 157, ""facing_diff_at_min"": 7.0, ""steps_within_dist"": 89, ""first_within_dist"": 71, ""steps_within_dist_but_facing_bad"": 86, ""max_distance"": 4, ""facing_tol_half"": 22.5}, ""find_soul_campfire"": {""type"": ""position_near_with_facing"", ""done_frame"": 81, ""min_dist"": 0.8, ""min_dist_step"": 121, ""facing_diff_at_min"": 30.5, ""steps_within_dist"": 79, ""first_within_dist"": 81, ""steps_within_dist_but_facing_bad"": 58, ""max_distance"": 5, ""facing_tol_half"": 22.5}}",32,5.0,53,32,0,0
c4h-prolong-codex-0763,prolong,0763,300,2,"1,27,-1,-1",0.839,10.5,10.2,10.2,6,0,51,13,0,0,225,0,2,0,8,37,0,225,40,0,0,0,0,,299,900,"{""find_soul_torch"": {""type"": ""position_near_with_facing"", ""done_frame"": 1, ""min_dist"": 1.01, ""min_dist_step"": 19, ""facing_diff_at_min"": 65.8, ""steps_within_dist"": 266, ""first_within_dist"": 1, ""steps_within_dist_but_facing_bad"": 248, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_brown_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 27, ""min_dist"": 2.21, ""min_dist_step"": 291, ""facing_diff_at_min"": 24.0, ""steps_within_dist"": 274, ""first_within_dist"": 27, ""steps_within_dist_but_facing_bad"": 253, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_purple_concrete"": {""type"": ""inventory_has"", ""done_frame"": null}, ""build_animal_pen"": {""type"": ""count_in_box_at_least"", ""done_frame"": null}}",20,15.0,46,17,0,1
q35-default-vllm-0182,default,0182,300,2,"28,216,-1,-1",0.117,54.5,19.9,18.0,11,0,198,88,9,0,0,2,3,0,0,165,0,0,0,2,0,0,0,,300,3640,"{""find_green_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 28, ""min_dist"": 4.29, ""min_dist_step"": 33, ""facing_diff_at_min"": 98.3, ""steps_within_dist"": 19, ""first_within_dist"": 22, ""steps_within_dist_but_facing_bad"": 17, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_dark_oak_button"": {""type"": ""position_near_with_facing"", ""done_frame"": 216, ""min_dist"": 4.63, ""min_dist_step"": 219, ""facing_diff_at_min"": 26.0, ""steps_within_dist"": 18, ""first_within_dist"": 212, ""steps_within_dist_but_facing_bad"": 13, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""mine_magma_block"": {""type"": ""inventory_has"", ""done_frame"": null}, ""bridge_lava_gap"": {""type"": ""position_inside_box"", ""done_frame"": null, ""min_dist"": 4.32, ""min_dist_step"": 270, ""facing_diff_at_min"": null, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": null, ""facing_tol_half"": 0.0}}",,,,,,
q35-default-vllm-0306,default,0306,300,3,"6,16,21,-1",0.408,38.3,13.9,13.5,9,19,187,60,16,25,4,1,0,6,1,217,35,4,2,1,6,1,6,146,300,2045,"{""find_granite"": {""type"": ""position_near_with_facing"", ""done_frame"": 6, ""min_dist"": 1.56, ""min_dist_step"": 17, ""facing_diff_at_min"": 94.3, ""steps_within_dist"": 39, ""first_within_dist"": 6, ""steps_within_dist_but_facing_bad"": 37, ""max_distance"": 3, ""facing_tol_half"": 30.0}, ""find_bricks"": {""type"": ""position_near_with_facing"", ""done_frame"": 16, ""min_dist"": 1.79, ""min_dist_step"": 44, ""facing_diff_at_min"": 93.9, ""steps_within_dist"": 45, ""first_within_dist"": 16, ""steps_within_dist_but_facing_bad"": 42, ""max_distance"": 5, ""facing_tol_half"": 30.0}, ""find_magenta_wall_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": 21, ""min_dist"": 1.16, ""min_dist_step"": 33, ""facing_diff_at_min"": 20.0, ""steps_within_dist"": 30, ""first_within_dist"": 21, ""steps_within_dist_but_facing_bad"": 12, ""max_distance"": 4, ""facing_tol_half"": 30.0}, ""find_orange_banner"": {""type"": ""position_near_with_facing"", ""done_frame"": null, ""min_dist"": 7.67, ""min_dist_step"": 33, ""facing_diff_at_min"": 43.1, ""steps_within_dist"": 0, ""first_within_dist"": null, ""steps_within_dist_but_facing_bad"": 0, ""max_distance"": 5, ""facing_tol_half"": 30.0}}",,,,,,
