run,scene,milestone,max_distance,facing_tol,d_spawn,d_min,steps_near,facing_min_when_near,earned,why
default(append),0435,find_yellow_wall_banner,5.0,60.0,12.3,10.03,0,,False,never_near
default(append),0435,use_splash_potion_strength,3.0,180.0,12.3,10.03,0,,False,never_near
default(append),0482,find_stone_brick_slab,8.0,60.0,13.37,2.77,166,9.8,True,earned
default(append),0560,find_terracotta,5.0,60.0,11.37,8.64,0,,False,never_near
default(append),0560,find_gray_concrete_powder,5.0,60.0,22.95,15.62,0,,False,never_near
default(append),0576,find_stone_bricks,6.0,60.0,9.17,7.09,0,,False,never_near
default(append),0576,find_magenta_stained_glass,5.0,60.0,7.55,3.93,15,19.7,True,earned
default(append),0576,find_purple_banner,5.0,60.0,9.43,7.44,0,,False,never_near
default(append),0576,open_shulker_box,3.0,45.0,12.81,9.26,0,,False,never_near
default(append),0603,find_purple_bed,5.0,30.0,6.0,5.8,0,,False,never_near
default(append),0603,find_red_nether_brick_stairs,5.0,45.0,7.81,3.39,29,9.8,True,earned
default(append),0694,find_cliff,12.0,60.0,23.09,22.49,0,,False,never_near
default(append),0694,find_packed_ice,8.0,60.0,17.38,16.46,0,,False,never_near
default(append),0694,find_stone_slab,6.0,60.0,9.37,8.19,0,,False,never_near
default(append),0694,find_iron_door,5.0,60.0,5.1,2.97,108,0.2,True,earned
default(append),0726,find_seagrass,5.0,45.0,7.16,3.0,39,23.8,False,near_never_faced
default(append),0726,find_diamond_block,4.0,45.0,12.25,7.76,0,,False,never_near
default(append),0726,find_soul_campfire,5.0,45.0,14.75,10.45,0,,False,never_near
default(append),0763,find_soul_torch,5.0,60.0,4.97,2.81,115,0.0,True,earned
default(append),0763,find_brown_banner,5.0,60.0,11.1,8.98,0,,False,never_near
hypothesis(append),0074,find_blue_concrete_powder,5.0,60.0,6.28,2.23,134,8.5,True,earned
hypothesis(append),0074,find_potted_pink_tulip,5.0,60.0,11.1,2.63,79,10.3,True,earned
hypothesis(append),0074,talk_to_villager,5.0,60.0,12.72,2.82,49,8.4,True,earned
hypothesis(append),0102,find_orange_wall_banner,5.0,60.0,10.05,10.05,0,,False,never_near
hypothesis(append),0118,find_iron_ore,5.0,45.0,5.95,5.27,0,,False,never_near
hypothesis(append),0118,find_lava,8.0,45.0,9.82,7.84,5,26.1,False,near_never_faced
hypothesis(append),0118,find_stone_brick_stairs,5.0,45.0,12.33,4.93,3,114.5,False,near_never_faced
hypothesis(append),0130,find_smooth_quartz_slab,5.0,60.0,7.73,6.03,0,,False,never_near
hypothesis(append),0130,find_note_block,5.0,60.0,11.32,9.01,0,,False,never_near
hypothesis(append),0182,find_green_banner,5.0,60.0,6.34,3.97,51,15.7,True,earned
hypothesis(append),0182,find_dark_oak_button,5.0,60.0,8.58,6.35,0,,False,never_near
hypothesis(append),0232,find_spruce_planks,8.0,60.0,13.03,11.17,0,,False,never_near
hypothesis(append),0232,find_spruce_button,5.0,45.0,10.12,8.37,0,,False,never_near
hypothesis(append),0232,find_spruce_door,5.0,60.0,9.92,8.06,0,,False,never_near
hypothesis(append),0232,interact_with_stonecutter,3.0,60.0,12.91,11.04,0,,False,never_near
hypothesis(append),0306,find_granite,3.0,60.0,4.19,2.06,40,40.2,False,near_never_faced
hypothesis(append),0306,find_bricks,5.0,60.0,8.26,1.1,120,1.4,True,earned
hypothesis(append),0306,find_magenta_wall_banner,4.0,60.0,8.99,2.08,66,3.1,True,earned
hypothesis(append),0306,find_orange_banner,5.0,60.0,14.86,1.27,121,19.4,True,earned
hypothesis(append),0311,find_river,5.0,60.0,10.0,10.0,0,,False,never_near
hypothesis(append),0408,find_birch_fence,5.0,60.0,9.22,6.78,0,,False,never_near
hypothesis(append),0408,find_tnt,5.0,60.0,14.14,11.62,0,,False,never_near
hypothesis(append),0410,find_spruce_planks,5.0,60.0,6.0,5.98,0,,False,never_near
hypothesis(append),0410,find_brown_concrete,5.0,60.0,10.15,6.61,0,,False,never_near
hypothesis(append),0410,find_black_wool,5.0,60.0,16.5,11.75,0,,False,never_near
hypothesis(append),0412,find_oak_planks,5.0,60.0,7.42,4.01,189,0.1,True,earned
hypothesis(append),0412,find_cyan_bed,5.0,60.0,12.71,9.64,0,,False,never_near
hypothesis(append),0435,find_dark_oak_fence_gate,5.0,60.0,8.22,4.87,6,78.2,False,near_never_faced
hypothesis(append),0435,interact_blast_furnace,3.0,60.0,11.27,4.44,0,,False,never_near
hypothesis(append),0435,find_yellow_wall_banner,5.0,60.0,12.3,6.6,0,,False,never_near
hypothesis(append),0435,use_splash_potion_strength,3.0,180.0,12.3,6.6,0,,False,never_near
hypothesis(append),0482,find_stone_brick_slab,8.0,60.0,13.36,4.32,145,5.5,True,earned
hypothesis(append),0560,find_terracotta,5.0,60.0,11.34,2.06,150,2.6,True,earned
hypothesis(append),0560,find_gray_concrete_powder,5.0,60.0,22.93,12.15,0,,False,never_near
hypothesis(append),0576,find_stone_bricks,6.0,60.0,9.07,4.73,35,33.5,False,near_never_faced
hypothesis(append),0576,find_magenta_stained_glass,5.0,60.0,7.5,4.91,4,58.4,False,near_never_faced
hypothesis(append),0576,find_purple_banner,5.0,60.0,9.34,5.24,0,,False,never_near
hypothesis(append),0576,open_shulker_box,3.0,45.0,12.73,8.21,0,,False,never_near
hypothesis(append),0603,find_purple_bed,5.0,30.0,6.0,5.08,0,,False,never_near
hypothesis(append),0603,find_red_nether_brick_stairs,5.0,45.0,7.81,4.73,14,13.5,True,earned
hypothesis(append),0694,find_cliff,12.0,60.0,23.07,21.76,0,,False,never_near
hypothesis(append),0694,find_packed_ice,8.0,60.0,17.37,14.72,0,,False,never_near
hypothesis(append),0694,find_stone_slab,6.0,60.0,9.36,6.52,0,,False,never_near
hypothesis(append),0694,find_iron_door,5.0,60.0,5.12,5.01,0,,False,never_near
hypothesis(append),0726,find_seagrass,5.0,45.0,7.28,2.7,47,0.0,True,earned
hypothesis(append),0726,find_diamond_block,4.0,45.0,12.37,7.49,0,,False,never_near
hypothesis(append),0726,find_soul_campfire,5.0,45.0,14.87,10.17,0,,False,never_near
hypothesis(append),0763,find_soul_torch,5.0,60.0,5.1,1.02,189,2.3,True,earned
hypothesis(append),0763,find_brown_banner,5.0,60.0,11.22,2.35,89,22.4,True,earned
hypothesis(legacy),0074,find_blue_concrete_powder,5.0,60.0,6.4,1.07,55,13.1,True,earned
hypothesis(legacy),0074,find_potted_pink_tulip,5.0,60.0,11.22,4.16,30,41.6,False,near_never_faced
hypothesis(legacy),0074,talk_to_villager,5.0,60.0,12.85,3.03,48,4.2,True,earned
hypothesis(legacy),0102,find_orange_wall_banner,5.0,60.0,10.18,10.18,0,,False,never_near
hypothesis(legacy),0118,find_iron_ore,5.0,45.0,5.92,3.49,16,28.1,False,near_never_faced
hypothesis(legacy),0118,find_lava,8.0,45.0,9.83,8.61,0,,False,never_near
hypothesis(legacy),0118,find_stone_brick_stairs,5.0,45.0,12.32,8.09,0,,False,never_near
hypothesis(legacy),0130,find_smooth_quartz_slab,5.0,60.0,7.73,6.0,0,,False,never_near
hypothesis(legacy),0130,find_note_block,5.0,60.0,11.32,9.0,0,,False,never_near
hypothesis(legacy),0182,find_green_banner,5.0,60.0,6.28,3.39,102,11.4,True,earned
hypothesis(legacy),0182,find_dark_oak_button,5.0,60.0,8.55,2.97,87,4.1,True,earned
hypothesis(legacy),0232,find_spruce_planks,8.0,60.0,13.03,4.72,147,4.9,True,earned
hypothesis(legacy),0232,find_spruce_button,5.0,45.0,10.12,2.06,147,2.2,True,earned
hypothesis(legacy),0232,find_spruce_door,5.0,60.0,9.92,2.42,147,14.1,True,earned
hypothesis(legacy),0232,interact_with_stonecutter,3.0,60.0,12.91,4.43,0,,False,never_near
hypothesis(legacy),0306,find_granite,3.0,60.0,4.12,1.01,106,2.2,True,earned
hypothesis(legacy),0306,find_bricks,5.0,60.0,8.18,1.91,34,38.6,False,near_never_faced
hypothesis(legacy),0306,find_magenta_wall_banner,4.0,60.0,8.93,2.89,13,109.2,False,near_never_faced
hypothesis(legacy),0306,find_orange_banner,5.0,60.0,14.78,8.39,0,,False,never_near
hypothesis(legacy),0311,find_river,5.0,60.0,10.0,7.59,0,,False,never_near
hypothesis(legacy),0408,find_birch_fence,5.0,60.0,9.16,7.34,0,,False,never_near
hypothesis(legacy),0408,find_tnt,5.0,60.0,14.07,11.77,0,,False,never_near
hypothesis(legacy),0410,find_spruce_planks,5.0,60.0,6.0,3.01,99,0.2,True,earned
hypothesis(legacy),0410,find_brown_concrete,5.0,60.0,10.15,4.83,57,20.0,True,earned
hypothesis(legacy),0410,find_black_wool,5.0,60.0,16.5,10.65,0,,False,never_near
hypothesis(legacy),0412,find_oak_planks,5.0,60.0,7.42,5.9,0,,False,never_near
hypothesis(legacy),0412,find_cyan_bed,5.0,60.0,12.71,7.14,0,,False,never_near
hypothesis(legacy),0435,find_dark_oak_fence_gate,5.0,60.0,8.24,1.59,155,19.4,True,earned
hypothesis(legacy),0435,interact_blast_furnace,3.0,60.0,11.29,6.42,0,,False,never_near
hypothesis(legacy),0435,find_yellow_wall_banner,5.0,60.0,12.32,6.41,0,,False,never_near
hypothesis(legacy),0435,use_splash_potion_strength,3.0,180.0,12.32,6.41,0,,False,never_near
hypothesis(legacy),0482,find_stone_brick_slab,8.0,60.0,13.34,4.61,40,8.9,True,earned
hypothesis(legacy),0560,find_terracotta,5.0,60.0,11.37,9.06,0,,False,never_near
hypothesis(legacy),0560,find_gray_concrete_powder,5.0,60.0,22.95,19.27,0,,False,never_near
hypothesis(legacy),0576,find_stone_bricks,6.0,60.0,9.07,2.52,74,0.8,True,earned
hypothesis(legacy),0576,find_magenta_stained_glass,5.0,60.0,7.47,6.46,0,,False,never_near
hypothesis(legacy),0576,find_purple_banner,5.0,60.0,9.35,2.98,44,0.8,True,earned
hypothesis(legacy),0576,open_shulker_box,3.0,45.0,12.71,8.49,0,,False,never_near
hypothesis(legacy),0603,find_purple_bed,5.0,30.0,6.0,5.05,0,,False,never_near
hypothesis(legacy),0603,find_red_nether_brick_stairs,5.0,45.0,7.81,4.35,41,6.5,True,earned
hypothesis(legacy),0694,find_cliff,12.0,60.0,23.06,18.47,0,,False,never_near
hypothesis(legacy),0694,find_packed_ice,8.0,60.0,17.37,10.71,0,,False,never_near
hypothesis(legacy),0694,find_stone_slab,6.0,60.0,9.36,3.77,34,40.4,False,near_never_faced
hypothesis(legacy),0694,find_iron_door,5.0,60.0,5.14,5.14,0,,False,never_near
hypothesis(legacy),0726,find_seagrass,5.0,45.0,7.16,2.32,87,12.4,True,earned
hypothesis(legacy),0726,find_diamond_block,4.0,45.0,12.25,7.09,0,,False,never_near
hypothesis(legacy),0726,find_soul_campfire,5.0,45.0,14.75,9.3,0,,False,never_near
hypothesis(legacy),0763,find_soul_torch,5.0,60.0,5.1,1.02,172,0.0,True,earned
hypothesis(legacy),0763,find_brown_banner,5.0,60.0,11.22,2.98,70,22.3,True,earned
